'SCAMID'	'ServiceAttributeCategoryID'	'ServiceAttributeID'	'CreateDate'	'UpdatedDate'	'ModifiedBy'	'Active'	'LanguageID'	'CountryID'
55	5	38	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1	1	1
54	5	37	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1	1	1
53	5	36	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1	1	1
52	5	35	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1	1	1
51	5	34	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1	1	1
50	5	33	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1	1	1
49	5	32	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1	1	1
48	5	31	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1	1	1
47	5	30	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1	1	1
46	5	29	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1	1	1
45	5	28	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1	1	1
44	5	27	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1	1	1
43	5	26	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1	1	1
42	5	25	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1	1	1
41	18	115	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1	1	1
40	18	114	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1	1	1
39	18	113	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1	1	1
38	18	112	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1	1	1
37	18	111	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1	1	1
36	18	110	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1	1	1
35	18	109	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1	1	1
34	18	108	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1	1	1
33	18	107	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1	1	1
32	18	24	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1	1	1
