'SCPID'	'SCAMID'	'CreateDate'	'UpdatedDate'	'ModifiedBy'	'Active'
1	56	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	55	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	54	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	53	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	52	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	51	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	50	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	49	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	48	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	47	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	46	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	45	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	44	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	43	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	42	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	41	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	40	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	39	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	38	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	37	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	36	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	35	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	34	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	33	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	32	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	31	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	30	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	29	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	28	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	27	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	26	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	25	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	24	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	23	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	22	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	21	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	20	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	19	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	18	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	17	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	16	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	15	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	14	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	13	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	12	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	11	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	10	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	9	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	8	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	7	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	6	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	5	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	4	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	3	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	2	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	1	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	57	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	58	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	59	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	60	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	61	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
1	62	'2011-08-21 00:00:00'	'2011-08-21 00:00:00'	'jd'	1
