'ServiceSubCategoryID'	'LanguageID'	'CountryID'	'Name'	'Description'	'CreatedDate'	'UpdatedDate'	'ModifiedBy'	'Active'	'ServiceCategoryID'	'Rank'	'RankQuery'
8	1	1	'Mind'		'2011-07-14 00:00:00'	'2011-07-14 00:00:00'	'jd'	1	2	1	
9	1	1	'Body'		'2011-07-14 00:00:00'	'2011-07-14 00:00:00'	'jd'	1	2	2	
10	1	1	'Soul'		'2011-07-14 00:00:00'	'2011-07-14 00:00:00'	'jd'	1	2	3	
15	1	1	'Care'		'2011-07-14 00:00:00'	'2011-07-14 00:00:00'	'jd'	1	4	1	
11	1	1	'Sport'		'2011-07-14 00:00:00'	'2011-07-14 00:00:00'	'jd'	1	2	4	
1	1	1	'Help'		'2011-07-14 00:00:00'	'2011-07-14 00:00:00'	'jd'	1	1	1	
2	1	1	'Maintenance'		'2011-07-14 00:00:00'	'2011-07-14 00:00:00'	'jd'	1	1	2	
3	1	1	'Repair'		'2011-07-14 00:00:00'	'2011-07-14 00:00:00'	'jd'	1	1	3	
4	1	1	'Remodel'		'2011-07-14 00:00:00'	'2011-07-14 00:00:00'	'jd'	1	1	4	
5	1	1	'Design'		'2011-07-14 00:00:00'	'2011-07-14 00:00:00'	'jd'	1	1	5	
6	1	1	'Garden'		'2011-07-14 00:00:00'	'2011-07-14 00:00:00'	'jd'	1	1	6	
7	1	1	'Office'		'2011-07-14 00:00:00'	'2011-07-14 00:00:00'	'jd'	1	1	7	
21	1	1	'Party'		'2011-07-14 00:00:00'	'2011-07-14 00:00:00'	'jd'	1	6	2	
22	1	1	'Children''s'		'2011-07-14 00:00:00'	'2011-07-14 00:00:00'	'jd'	1	6	3	
23	1	1	'Religious'		'2011-07-14 00:00:00'	'2011-07-14 00:00:00'	'jd'	1	6	4	
24	1	1	'Wedding'		'2011-07-14 00:00:00'	'2011-07-14 00:00:00'	'jd'	1	6	1	
25	1	1	'Transit'		'2011-07-14 00:00:00'	'2011-07-14 00:00:00'	'jd'	1	7	3	
26	1	1	'Travel'		'2011-07-14 00:00:00'	'2011-07-14 00:00:00'	'jd'	1	7	4	
31	1	1	'Legal'		'2011-07-14 00:00:00'	'2011-07-14 00:00:00'	'jd'	1	8	1	
32	1	1	'Financial'		'2011-07-14 00:00:00'	'2011-07-14 00:00:00'	'jd'	1	8	2	
29	1	1	'Administrative'		'2011-07-14 00:00:00'	'2011-07-14 00:00:00'	'jd'	1	8	3	
30	1	1	'Cleaning & Maintenance'		'2011-07-14 00:00:00'	'2011-07-14 00:00:00'	'jd'	1	8	4	
16	1	1	'Mind'		'2011-07-16 00:00:00'	'2011-07-16 00:00:00'	'jd'	1	4	2	
17	1	1	'Body'		'2011-07-16 00:00:00'	'2011-07-16 00:00:00'	'jd'	1	4	3	
18	1	1	'Soul'		'2011-07-16 00:00:00'	'2011-07-16 00:00:00'	'jd'	1	4	4	
12	1	1	'Care'		'2011-07-16 00:00:00'	'2011-07-16 00:00:00'	'jd'	1	3	1	
13	1	1	'Mind'		'2011-07-16 00:00:00'	'2011-07-16 00:00:00'	'jd'	1	3	2	
14	1	1	'Body'		'2011-07-16 00:00:00'	'2011-07-16 00:00:00'	'jd'	1	3	3	
19	1	1	'Care'		'2011-07-16 00:00:00'	'2011-07-16 00:00:00'	'jd'	1	5	1	
20	1	1	'Transport'		'2011-07-16 00:00:00'	'2011-07-16 00:00:00'	'jd'	1	5	2	
27	1	1	'Repair'		'2011-07-16 00:00:00'	'2011-07-16 00:00:00'	'jd'	1	7	1	
28	1	1	'Maintenance'		'2011-07-16 00:00:00'	'2011-07-16 00:00:00'	'jd'	1	7	2	
